t,f
12.84,49.18036148
12.85,49.18031477
12.86,49.18026685
12.87,49.18021773
12.88,49.18016744
12.89,49.18011598
12.9,49.18006337
12.91,49.18000962
12.92,49.17995475
12.93,49.17989878
12.94,49.17984171
12.95,49.17978356
12.96,49.17972435
12.97,49.17966409
12.98,49.17960279
12.99,49.17954048
13,49.17947716
13.01,49.17941284
13.02,49.17934755
13.03,49.1792813
13.04,49.1792141
13.05,49.17914596
13.06,49.17907691
13.07,49.17900695
13.08,49.1789361
13.09,49.17886438
13.1,49.1787918
13.11,49.17871837
13.12,49.17864411
13.13,49.17856903
13.14,49.17849315
13.15,49.17841648
13.16,49.17833904
13.17,49.17826084
13.18,49.17818189
13.19,49.17810221
13.2,49.17802182
13.21,49.17794073
13.22,49.17785894
13.23,49.17777649
13.24,49.17769338
13.25,49.17760962
13.26,49.17752523
13.27,49.17744023
13.28,49.17735462
13.29,49.17726843
13.3,49.17718166
13.31,49.17709433
13.32,49.17700646
13.33,49.17691805
13.34,49.17682913
13.35,49.1767397
13.36,49.17664978
13.37,49.17655939
13.38,49.17646853
13.39,49.17637723
13.4,49.17628549
13.41,49.17619333
13.42,49.17610075
13.43,49.17600779
13.44,49.17591444
13.45,49.17582073
13.46,49.17572666
13.47,49.17563225
13.48,49.17553751
13.49,49.17544246
13.5,49.1753471
13.51,49.17525146
13.52,49.17515554
13.53,49.17505936
13.54,49.17496293
13.55,49.17486626
13.56,49.17476936
13.57,49.17467225
13.58,49.17457495
13.59,49.17447746
13.6,49.17437979
13.61,49.17428196
13.62,49.17418398
13.63,49.17408586
13.64,49.17398762
13.65,49.17388926
13.66,49.17379081
13.67,49.17369226
13.68,49.17359364
13.69,49.17349495
13.7,49.1733962
13.71,49.17329741
13.72,49.1731986
13.73,49.17309976
13.74,49.17300091
13.75,49.17290207
13.76,49.17280324
13.77,49.17270443
13.78,49.17260567
13.79,49.17250695
13.8,49.17240829
13.81,49.17230969
13.82,49.17221118
13.83,49.17211275
13.84,49.17201443
13.85,49.17191622
13.86,49.17181813
13.87,49.17172017
13.88,49.17162236
13.89,49.17152469
13.9,49.17142719
13.91,49.17132986
13.92,49.17123271
13.93,49.17113575
13.94,49.17103899
13.95,49.17094245
13.96,49.17084612
13.97,49.17075002
13.98,49.17065416
13.99,49.17055855
14,49.17046319
14.01,49.1703681
14.02,49.17027329
14.03,49.17017876
14.04,49.17008452
14.05,49.16999058
14.06,49.16989694
14.07,49.16980363
14.08,49.16971064
14.09,49.16961799
14.1,49.16952567
14.11,49.16943371
14.12,49.1693421
14.13,49.16925086
14.14,49.16916
14.15,49.16906951
14.16,49.16897941
14.17,49.16888971
14.18,49.16880041
